path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,t_eff,seq_len,count,lat_mean_ms,lat_median_ms,lat_std_ms
features.6.0.block.2.fc2,23f49fa942510f94,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": true, ""in_channels"": 28, ""kernel_size"": [1, 1], ""out_channels"": 672, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 28, 1, 1]]","[""torch.float32""]","[[1, 672, 1, 1]]",features.6.0.block.2.fc2,forward,True,19488,18816,80752,0.233,1,1,25,0.078,0.0586,0.0316
features.6.0.block.2.activation,4a31d703fa79c2d6,SiLU,"{""class"": ""SiLU""}","[[1, 28, 1, 1]]","[""torch.float32""]","[[1, 28, 1, 1]]",features.6.0.block.2.activation,forward,True,0,28,224,0.125,1,1,25,0.0192,0.019,0.0028
features.6.0.block.2.scale_activation,36f2cc2e1cf696a1,Sigmoid,"{""class"": ""Sigmoid""}","[[1, 672, 1, 1]]","[""torch.float32""]","[[1, 672, 1, 1]]",features.6.0.block.2.scale_activation,forward,True,0,,5376,,1,1,25,0.0312,0.0267,0.0122
features.6.0.block.3,d791f51a54384392,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 672, 20, 20]]","[""torch.float32""]","[[1, 192, 20, 20]]",features.6.0.block.3,forward,False,129408,,1900032,,1,1,25,2.846,2.3752,1.1078
features.6.0.block.3.0,c8833c0b5f665379,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 672, ""kernel_size"": [1, 1], ""out_channels"": 192, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 672, 20, 20]]","[""torch.float32""]","[[1, 192, 20, 20]]",features.6.0.block.3.0,forward,True,129024,51609600,1898496,27.1845,400,400,25,2.5114,2.1022,0.9606
features.6.0.block.3.1,7ea10964c717898b,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 1e-05, ""has_bias"": true, ""momentum"": 0.1}","[[1, 192, 20, 20]]","[""torch.float32""]","[[1, 192, 20, 20]]",features.6.0.block.3.1,forward,True,384,153600,615936,0.2494,400,400,25,0.1958,0.1341,0.1502
features.6.1,ce1da0447f102275,MBConv,"{""class"": ""MBConv""}","[[1, 192, 20, 20]]","[""torch.float32""]","[[1, 192, 20, 20]]",features.6.1,forward,False,587952,,2966208,,1,1,25,17.7556,17.8411,1.259
features.6.1.block,c4a8e887ddff682c,Sequential,"{""class"": ""Sequential""}","[[1, 192, 20, 20]]","[""torch.float32""]","[[1, 192, 20, 20]]",features.6.1.block,forward,False,587952,,2966208,,1,1,25,17.5676,17.6536,1.2566
features.6.1.block.0,c35457c70750608c,Conv2dNormActivation,"{""class"": ""Conv2dNormActivation""}","[[1, 192, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.1.block.0,forward,False,223488,,3044352,,1,1,25,6.1687,5.9409,1.0878
features.6.1.block.0.0,97a5ef98099ab746,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 192, ""kernel_size"": [1, 1], ""out_channels"": 1152, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 192, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.1.block.0.0,forward,True,221184,88473600,3035136,29.1498,400,400,25,4.0606,3.8744,1.0893
features.6.1.block.0.1,640ef974f7a5a24c,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 1e-05, ""has_bias"": true, ""momentum"": 0.1}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.1.block.0.1,forward,True,2304,921600,3695616,0.2494,400,400,25,0.9784,0.7649,0.4229
features.6.1.block.0.2,f8a348357b213e8e,SiLU,"{""class"": ""SiLU""}","[[1, 1152, 20, 20]]","[""torch.float32""]","[[1, 1152, 20, 20]]",features.6.1.block.0.2,forward,True,0,460800,3686400,0.125,400,400,25,0.8847,0.6055,0.5
