path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,count,lat_mean_ms,lat_median_ms,lat_std_ms
22.cv2,8f6224db0b19406f,Conv,"{""class"": ""Conv""}","[[1, 384, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",22.cv2,forward,False,98816,,1024000,,5,1.8273,1.8273,0.0
22.cv2.conv,0a6e7ad354a5bde8,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 384, ""kernel_size"": [1, 1], ""out_channels"": 256, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 384, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",22.cv2.conv,forward,True,98304,39321600,1024000,38.4,5,1.4158,1.4158,0.0
22.cv2.bn,b8e5711b0cda3ea8,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-1.2061, -0.9219, -1.1309, -0.5244, -0.9448, -0.5874, -1.1943, -0.2198, -0.4502, -0.0851, -0.1772, -0.8408, -0.8052, -2.1562, -0.3806, -1.1758, -1.2881, -1.2334, -0.5449, -0.8350, -0.1896, -0.9390, -0.9648, -0.6323, -0.6289, -0.2198, -1.1484, -1.3008, -0.7446, -0.2803, -0.9893, -0.4204, -0.5000, -0.9326,\n        -0.9907, -0.9854, -1.1631, -1.0684, -0.2595, -0.8579, -1.0117, -0.7065,  0.1796, -0.2308, -0.9385, -0.6206,  0.0409, -1.0654, -1.0361, -0.3059, -0.9072, -0.6943, -0.0886, -0.5693, -0.8120, -0.9683, -0.6646,  0.1405, -0.3655, -0.1757, -0.9355, -0.8462, -0.8340, -0.6367, -0.3550, -0.8838, -0.3752, -1.1699,\n        -1.2217, -1.0342, -1.2021, -1.3164, -0.7378, -0.8823,  0.3228, -0.7539, -0.4258, -0.9917, -0.0927, -1.0068,  0.2018, -0.7651, -0.7246,  0.1559, -0.7305, -0.7314, -1.1523, -0.8691, -0.9360, -0.2400, -0.4460, -1.2158, -0.4670, -0.7041, -0.0952,  0.3254, -0.5854, -1.5752, -0.9390, -0.7612, -0.6802, -0.9521,\n        -0.6270,  0.3188, -0.7148, -1.0400, -0.8047, -0.7476,  0.3130, -1.0020, -0.7690, -0.2844, -0.4158, -0.1792, -0.0504, -0.6353, -0.4397, -0.6924, -0.8906, -0.6675, -0.9829, -0.8706, -0.8691, -0.7393, -0.6685, -0.7095,  0.2712, -1.4414,  0.3958,  0.0214, -0.9565, -0.6611, -0.6250, -1.2217, -0.7197, -0.8970,\n        -0.4785, -0.6797, -0.7646, -1.1387, -0.4026, -0.7261, -1.1416, -0.5557, -0.8921, -0.9927, -0.9282, -0.9917, -0.6250,  0.2169, -0.8711, -1.1465, -0.9180,  0.3052, -0.9204, -0.6714, -0.6890, -0.2115,  0.4688,  0.2358, -0.3716, -0.7598, -0.8159, -0.8501, -0.5410, -0.9390, -1.0889, -0.7788, -1.2031, -0.3069,\n        -0.5596, -0.2861, -0.8989, -0.6660, -0.9204, -0.5586, -1.0508, -0.7891, -0.9092, -0.9624, -1.3076, -1.0645, -1.2324, -0.8276, -0.6118, -0.9951, -0.3586, -0.3315, -1.0312,  0.5381, -1.3311, -0.2356, -0.9282,  0.2537, -0.2158, -1.3242, -0.1613, -0.9609, -0.3337, -1.2822, -0.6499, -0.7056, -0.8867, -0.8774,\n        -0.8052, -1.1084, -0.7910, -0.2207, -0.8359, -1.0645, -0.5000, -0.8979, -0.5161,  0.2830, -0.7900, -1.3887, -0.5596, -1.1357, -0.7495, -1.1514, -0.5352, -0.6494, -1.0986, -0.0895,  0.4553, -1.0107, -1.0430,  0.2162, -0.7197, -0.6953, -0.8804, -1.4395,  0.1583,  0.2725, -0.4954, -0.5728,  1.0439, -0.6226,\n        -1.0859, -0.8071, -0.8125, -0.2773, -0.8843, -1.0986, -0.8901,  0.0455, -0.8325, -0.9570, -0.4055, -0.2913, -1.1211, -0.3337, -0.5327,  0.0912, -1.1436, -0.4939])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",22.cv2.bn,forward,True,512,,819200,,5,0.1093,0.1093,0.0
22.m.0,a09a2d1a83a8bbc8,C3k,"{""class"": ""C3k""}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",22.m.0,forward,False,181248,,409600,,5,8.6964,8.6964,0.0
22.m.0.cv1,5cfa28a28ad2d2aa,Conv,"{""class"": ""Conv""}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 64, 20, 20]]",22.m.0.cv1,forward,False,8320,,307200,,5,3.2845,3.2845,0.0
22.m.0.cv1.conv,ec8ca42e06e0df1f,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 64, 20, 20]]",22.m.0.cv1.conv,forward,True,8192,3276800,307200,10.6667,5,2.2152,2.2152,0.0
22.m.0.cv1.bn,8f863e1aa943dd69,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-1.0605, -0.3528, -0.9497, -0.1225, -0.3347, -0.3044, -0.1479, -1.0283,  0.2644, -0.5225,  0.6479,  0.1710,  0.5757, -0.3535, -0.3542, -0.7715,  0.1375, -0.7832, -0.2637, -0.1548, -1.0498, -0.2426, -0.4683, -0.4836, -0.8701, -0.6660, -0.5278,  0.0832,  0.6606, -0.6177,  0.0216, -0.2964,  0.0621,  0.1150,\n        -1.2227, -0.5649, -0.4124, -0.3809,  0.0591, -0.2349, -0.3887, -0.1606, -0.2935, -0.5835,  0.1351, -0.4341, -0.2673, -0.4265,  0.2778,  0.1399,  0.2179, -0.2720,  0.2751, -0.6152, -0.4614, -0.3845, -0.5723,  0.1144, -0.2010, -0.5845,  0.1692,  0.3743,  0.0649,  0.0932])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 64, 20, 20]]","[""torch.float32""]","[[1, 64, 20, 20]]",22.m.0.cv1.bn,forward,True,128,,204800,,5,0.7676,0.7676,0.0
22.m.0.cv2,5cfa28a28ad2d2aa,Conv,"{""class"": ""Conv""}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 64, 20, 20]]",22.m.0.cv2,forward,False,8320,,307200,,5,0.6679,0.6679,0.0
22.m.0.cv2.conv,ec8ca42e06e0df1f,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 64, 20, 20]]",22.m.0.cv2.conv,forward,True,8192,3276800,307200,10.6667,5,0.3733,0.3733,0.0
22.m.0.cv2.bn,06e552e467a1a4ed,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-0.1730,  0.0043, -0.2313, -0.3049,  0.0072, -0.0013, -0.1315, -0.0747, -0.0652, -0.1534,  0.0166, -0.1119, -0.0906, -0.0662, -0.1836, -0.1790,  0.0149, -0.0545, -0.3989, -0.0668, -0.1381, -0.2250, -0.0116, -0.1621, -0.1181,  0.0551, -0.2145, -0.3022,  0.0201, -0.0895, -0.1224, -0.1254, -0.1298,  0.0066,\n        -0.2091, -0.1584, -0.0528, -0.0488, -0.2715, -0.1648, -0.1660, -0.0460,  0.0147, -0.1433, -0.3406, -0.1954, -0.0694,  0.0033, -0.1470, -0.2498, -0.0638, -0.2581, -0.0623, -0.0793, -0.2216, -0.1669, -0.0897, -0.0792, -0.4023, -0.0507, -0.0458, -0.1936, -0.0776, -0.1537])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 64, 20, 20]]","[""torch.float32""]","[[1, 64, 20, 20]]",22.m.0.cv2.bn,forward,True,128,,204800,,5,0.0695,0.0695,0.0
