path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,count,lat_mean_ms,lat_median_ms,lat_std_ms
22.cv2.1.0.bn,b7756aed0a7ce6ee,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-1.5684, -0.5781, -0.5698, -0.9180, -0.6016, -0.4844,  1.1738, -1.0479, -0.4199, -1.0938, -1.2129, -0.8330, -0.5503, -1.0859,  0.2408, -0.6797, -0.2976, -1.4053,  0.8237, -0.3621, -0.8882, -0.2040, -0.5195, -0.8560, -0.6777, -0.5942, -0.6714, -0.6958, -1.2773, -0.3794,  0.4136,  0.2458, -0.2379,  0.0189,\n        -0.8867,  0.1625, -0.3967, -0.6938, -1.3291, -0.9019, -0.8833, -1.9775, -0.3250, -0.2512, -0.6968, -0.1635,  0.4619, -0.9346, -0.0034, -0.5400, -1.1162,  0.0447,  0.3115, -0.3413, -1.9922, -0.5557,  0.1169, -0.9673, -0.6689, -1.9971, -0.7036,  0.0151, -0.1167,  0.1407])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",22.cv2.1.0.bn,forward,True,128,,819200,,35,0.1796,0.11,0.1661
22.cv2.1.1,779f8899e994d313,Conv,"{""class"": ""Conv""}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",22.cv2.1.1,forward,False,36992,,819200,,35,2.0676,1.8107,0.6358
22.cv2.1.1.conv,7dcfbda29846c883,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",22.cv2.1.1.conv,forward,True,36864,58982400,819200,72.0,35,1.5927,1.3522,0.6182
22.cv2.1.1.bn,80f893a051792719,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 1.6143,  0.7852,  0.8335,  1.5029,  1.3398,  0.7769,  0.7896,  0.4746,  0.1910,  2.1035,  1.1328,  1.0479,  1.5850,  0.5664, -0.1190,  0.8340,  1.0996,  1.1006,  1.2773,  1.1543,  0.4648,  1.4033,  0.9268,  1.3682,  1.7305,  1.0557,  0.9844,  1.6230,  0.6479,  0.2473,  0.7417,  0.5400,  1.6621,  1.1465,\n         0.1914,  1.0117, -0.3030,  1.7656,  0.6714, -0.5186, -0.1302,  0.1721,  0.0287,  1.0566,  1.5498,  1.0811,  1.4873,  1.6562,  0.9448, -0.3135,  1.0693,  0.9102,  1.6514,  1.1172,  1.0449,  0.2986,  1.7861, -0.6426,  1.7012,  0.7124,  1.5723,  1.2422,  0.5923,  1.4551])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",22.cv2.1.1.bn,forward,True,128,,819200,,35,0.148,0.1279,0.056
22.cv2.1.2,79468d8c8d9eeb77,Conv2d,"{""bias"": ""Parameter containing:\ntensor([ 2.3262,  2.1914,  1.9707,  1.6846,  1.7373,  1.7607,  1.7305,  1.5615,  1.2080,  0.7437,  0.3665,  0.0585, -0.2825, -0.3779, -0.4490, -0.2299,  2.0625,  2.0723,  2.0312,  1.9600,  2.0176,  2.0820,  1.8291,  1.7520,  1.4570,  0.8193,  0.4253, -0.0805, -0.4990, -0.6978, -0.8481, -0.3860,  2.2988,  2.2031,\n         2.1348,  1.7051,  1.7949,  1.8877,  1.7939,  1.5615,  1.1182,  0.7905,  0.3152,  0.1632, -0.2908, -0.5317, -0.6489, -0.2957,  1.8291,  2.1973,  2.1484,  1.9756,  2.0352,  2.1855,  2.2070,  1.7920,  1.2061,  0.7222,  0.3660, -0.1232, -0.3936, -0.5752, -0.8804, -0.6860])"", ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 64, 40, 40]]","[""torch.float32""]","[[1, 64, 40, 40]]",22.cv2.1.2,forward,True,4160,6553600,819200,8.0,35,0.7826,0.6343,0.3756
22.cv2.2,27a5bc3647bf7fdc,Sequential,"{""class"": ""Sequential""}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 64, 20, 20]]",22.cv2.2,forward,False,188736,,512000,,35,4.4135,4.2638,0.6133
22.cv2.2.0,0ed1c23cf9110f7a,Conv,"{""class"": ""Conv""}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 64, 20, 20]]",22.cv2.2.0,forward,False,147584,,512000,,35,2.8033,2.7454,0.6863
22.cv2.2.0.conv,4c7e6de9dc310050,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 256, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 64, 20, 20]]",22.cv2.2.0.conv,forward,True,147456,58982400,512000,115.2,35,2.1449,2.1377,0.5903
22.cv2.2.0.bn,b5efffc738e3d676,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([-1.3340, -0.5664, -0.6196, -0.4558, -1.1377, -1.1904, -0.1039, -0.5903,  0.8154,  0.1904, -0.4575,  0.2542, -0.4104, -0.9448,  1.4307, -0.0721, -0.5771, -1.3662, -1.0967, -0.3655,  0.1453, -0.2224, -0.5610,  0.4189, -0.7803, -1.3057,  1.0039, -0.1737, -1.2480,  0.6221, -0.8159,  0.0849, -0.4180, -0.7881,\n        -0.6309,  0.0109,  0.2050, -0.4819, -1.2744, -0.4819, -0.3357, -0.7144, -0.9097, -0.6895, -0.3438, -0.0761, -0.2035, -0.8179,  0.4358, -0.7744,  0.1578, -0.3435, -0.7417, -0.5571,  0.1991, -0.8149,  0.2203,  0.0451, -0.6416, -0.3982,  0.2112, -0.9390, -0.6831, -0.5693])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 64, 20, 20]]","[""torch.float32""]","[[1, 64, 20, 20]]",22.cv2.2.0.bn,forward,True,128,,204800,,35,0.336,0.121,0.3112
22.cv2.2.1,9eb119d52f148e5f,Conv,"{""class"": ""Conv""}","[[1, 64, 20, 20]]","[""torch.float32""]","[[1, 64, 20, 20]]",22.cv2.2.1,forward,False,36992,,204800,,35,1.1288,0.9824,0.2788
