path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,count,lat_mean_ms,lat_median_ms,lat_std_ms
22.cv3.1.0.conv,cf10d05c58765374,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [3, 3], ""out_channels"": 80, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 128, 40, 40]]","[""torch.float32""]","[[1, 80, 40, 40]]",22.cv3.1.0.conv,forward,True,92160,147456000,1331200,110.7692,52,4.6995,4.365,1.1949
22.cv3.1.0.bn,cbf2fc8eda0992cf,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 0.4480, -1.7314,  1.7402,  0.5757,  0.1741, -1.5859, -1.5635,  0.0735,  0.3596, -3.1797,  0.5005,  0.3472,  0.1561, -0.6470,  0.0433, -0.1779,  0.2903, -1.3486,  0.0674,  0.2588,  0.3013, -0.7163, -2.3789, -1.6113,  0.0742,  0.1559, -0.1808,  0.1740, -0.3486, -0.7891,  0.5435, -2.8965, -0.8438, -0.6025,\n         0.2681,  0.6030, -0.4226,  0.0196,  0.3931, -0.0781, -0.1851,  0.7783, -0.7354, -0.0754,  0.0380,  0.3376, -1.4551, -0.6675, -0.4805,  0.9570, -0.2791, -1.1348,  0.0544, -0.7607,  0.3254, -0.5854, -0.9976,  0.4893,  0.0432, -1.4180, -2.2109, -0.0633, -0.0320, -0.1624,  0.1318, -1.6553, -1.3711, -0.6108,\n         0.0930,  0.1678, -0.5483, -0.5112, -0.7900, -1.0088, -1.4941,  0.1835, -0.0246, -0.6201, -1.8965, -1.1836])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 80, 40, 40]]","[""torch.float32""]","[[1, 80, 40, 40]]",22.cv3.1.0.bn,forward,True,160,,1024000,,52,0.287,0.2088,0.2055
22.cv3.1.1,4ca316e081069dfb,Conv,"{""class"": ""Conv""}","[[1, 80, 40, 40]]","[""torch.float32""]","[[1, 80, 40, 40]]",22.cv3.1.1,forward,False,57760,,1024000,,52,3.4949,3.3976,0.8865
22.cv3.1.1.conv,1fcc7bee2ad76d70,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 80, ""kernel_size"": [3, 3], ""out_channels"": 80, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 80, 40, 40]]","[""torch.float32""]","[[1, 80, 40, 40]]",22.cv3.1.1.conv,forward,True,57600,92160000,1024000,90.0,52,2.7283,2.6643,0.7204
22.cv3.1.1.bn,a8614eaa792f2616,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 2.0000,  0.9497,  3.7852,  0.2469,  0.1403,  0.4507,  0.5796,  1.4375,  0.2367,  0.5542,  1.7373,  0.9287,  2.4688,  1.7959,  1.3467,  0.0882,  0.1068,  0.4309,  0.1575,  0.2380,  0.7256,  2.1035,  0.5825,  3.8926, -0.2402,  1.2354,  0.8647,  2.5586,  0.7549, -0.1036,  1.2324,  0.5977,  2.1855,  0.1946,\n         1.7764,  0.8569,  2.2480,  0.1614,  0.2375,  1.4727,  1.8184,  0.1498,  1.1113,  3.6328, -0.0958,  0.4502,  5.7656,  0.5991,  0.8447,  3.0547,  6.3008,  0.5757,  3.3262,  0.8057,  0.1635,  0.5015,  2.7598,  0.8457,  0.2629,  0.2166,  0.8550,  3.5820, -0.2424,  0.4358,  0.3215,  0.7256, -0.7285,  2.1348,\n         0.6196,  0.8486,  0.3235,  0.0251,  0.5146,  2.2129,  2.7148,  1.9062,  0.0796,  6.6875,  2.6543,  0.4919])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 80, 40, 40]]","[""torch.float32""]","[[1, 80, 40, 40]]",22.cv3.1.1.bn,forward,True,160,,1024000,,52,0.2889,0.2291,0.1899
22.cv3.1.2,2b454171813ec210,Conv2d,"{""bias"": ""Parameter containing:\ntensor([ -5.6680, -10.9609,  -8.9453, -10.5781, -10.6953, -10.7344, -10.4609,  -9.8594, -10.1797, -10.8828, -11.3984, -11.9219, -11.4453,  -9.6641,  -9.9766,  -9.4609,  -9.8203, -10.1641, -10.5234, -10.3281, -10.4688, -11.2578, -10.8359, -10.5234, -10.4922,  -9.5000, -10.2969, -10.5312, -10.0312, -11.6953, -11.1094,\n        -11.3281, -11.7188, -10.8828, -11.1875, -11.5625, -10.7969, -10.6484, -11.0938,  -9.8828, -10.5781,  -9.2500, -10.9453, -10.7188, -11.0234,  -9.3281,  -9.4219, -10.2812, -10.4062, -10.4375, -10.4141, -10.4219, -11.0781, -10.8203, -10.2344, -10.0234,  -8.1875,  -9.9688,  -9.8516, -10.2031,  -9.2344, -10.4141,\n        -10.2500, -10.6328, -11.8516, -11.2969, -11.0391, -11.0000, -11.6328, -10.6953, -12.0469, -10.3281, -10.5781,  -9.7969, -10.9844, -10.3984, -11.3359,  -9.8438, -11.7578, -11.2266])"", ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 80, ""kernel_size"": [1, 1], ""out_channels"": 80, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 80, 40, 40]]","[""torch.float32""]","[[1, 80, 40, 40]]",22.cv3.1.2,forward,True,6480,10240000,1024000,10.0,52,1.0973,0.8921,0.6805
22.cv3.2,27a5bc3647bf7fdc,Sequential,"{""class"": ""Sequential""}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 80, 20, 20]]",22.cv3.2,forward,False,248720,,537600,,52,5.6236,5.0126,1.4314
22.cv3.2.0,0ed1c23cf9110f7a,Conv,"{""class"": ""Conv""}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 80, 20, 20]]",22.cv3.2.0,forward,False,184480,,537600,,52,3.3101,3.178,0.6338
22.cv3.2.0.conv,69b500be2b8e5010,Conv2d,"{""bias"": null, ""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 256, ""kernel_size"": [3, 3], ""out_channels"": 80, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 80, 20, 20]]",22.cv3.2.0.conv,forward,True,184320,73728000,537600,137.1429,52,2.556,2.1825,0.7395
22.cv3.2.0.bn,e02b50536870fb35,BatchNorm2d,"{""bias"": ""Parameter containing:\ntensor([ 0.2095, -1.1953, -0.3977,  0.8389,  0.0728,  0.3362, -0.2086,  0.1019,  0.0439,  0.2145, -0.3652, -1.8428,  0.0463,  0.1120, -0.4128,  0.4834,  0.4202, -1.0557,  0.2473,  0.5747,  0.1368,  0.6313, -0.5015,  0.0975, -0.8262, -0.0391, -0.0409, -0.6436, -0.7603,  0.5239,  0.5859, -0.0327, -0.5366,  0.2246,\n        -2.6289,  0.7417,  0.6592,  0.7930, -1.5684, -0.7007,  0.1141, -2.3145,  0.6577, -0.7905,  0.6865, -0.1278, -2.3574, -1.5186, -0.0543,  0.4309, -0.2786, -1.6562,  0.5151, -3.3848, -0.2130, -0.2527, -0.9341,  0.2861,  0.2009, -2.1973,  0.6323,  0.3425, -1.6445, -0.3655,  1.8887, -1.3926,  0.3318, -0.6484,\n         0.4067, -0.8184,  0.1665, -0.0764,  0.0041,  0.0649, -2.7207, -0.2015,  0.2881, -0.2700, -0.5757,  0.3320])"", ""class"": ""BatchNorm2d"", ""eps"": 0.001}","[[1, 80, 20, 20]]","[""torch.float32""]","[[1, 80, 20, 20]]",22.cv3.2.0.bn,forward,True,160,,256000,,52,0.3913,0.2282,0.3256
