path,config_id,class,config_json,input_shapes,input_dtypes,out_shapes,callsite,mode,leaf,params,macs,bytes_moved,arith_intensity,t_eff,seq_len,count,lat_mean_ms,lat_median_ms,lat_std_ms
7.bn,ac8618e635cc7fb1,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",7.bn,forward,True,512,204800,821248,0.2494,400,400,30,0.2172,0.1307,0.1804
8,bff08186690bf99d,C2f,"{""class"": ""C2f""}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",8,forward,False,460288,,2660352,,1,1,30,11.5483,9.0699,6.7621
8.cv1,0ed1c23cf9110f7a,Conv,"{""class"": ""Conv""}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",8.cv1,forward,False,66048,,1083392,,1,1,30,1.9863,1.4701,1.3079
8.cv1.conv,869edd6e1c555791,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 256, ""kernel_size"": [1, 1], ""out_channels"": 256, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",8.cv1.conv,forward,True,65536,26214400,1081344,24.2424,400,400,30,1.4649,1.0591,1.0327
8.cv1.bn,ac8618e635cc7fb1,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",8.cv1.bn,forward,True,512,204800,821248,0.2494,400,400,30,0.1349,0.0878,0.1707
8.cv2,8f6224db0b19406f,Conv,"{""class"": ""Conv""}","[[1, 384, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",8.cv2,forward,False,98816,,1419264,,1,1,30,2.5206,1.8854,1.6656
8.cv2.conv,f33965fb5f852eec,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 384, ""kernel_size"": [1, 1], ""out_channels"": 256, ""padding"": [0, 0], ""stride"": [1, 1]}","[[1, 384, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",8.cv2.conv,forward,True,98304,39321600,1417216,27.7457,400,400,30,1.9655,1.4375,1.3356
8.cv2.bn,ac8618e635cc7fb1,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",8.cv2.bn,forward,True,512,204800,821248,0.2494,400,400,30,0.14,0.0992,0.1022
8.m.0,31d91b5bca713d48,Bottleneck,"{""class"": ""Bottleneck""}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",8.m.0,forward,False,295424,,1591296,,1,1,30,6.4067,4.9623,3.5299
8.m.0.cv1,5cfa28a28ad2d2aa,Conv,"{""class"": ""Conv""}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",8.m.0.cv1,forward,False,147712,,1000448,,1,1,30,3.0229,2.5421,1.4986
8.m.0.cv1.conv,af6950922bb10eb3,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 128, ""kernel_size"": [3, 3], ""out_channels"": 128, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",8.m.0.cv1.conv,forward,True,147456,58982400,999424,59.0164,400,400,30,2.4517,2.1414,1.1729
8.m.0.cv1.bn,8de7bac41945387e,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",8.m.0.cv1.bn,forward,True,256,102400,410624,0.2494,400,400,30,0.1781,0.1006,0.1832
8.m.0.cv2,5cfa28a28ad2d2aa,Conv,"{""class"": ""Conv""}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",8.m.0.cv2,forward,False,147712,,1000448,,1,1,30,3.1282,2.501,1.971
8.m.0.cv2.conv,af6950922bb10eb3,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 128, ""kernel_size"": [3, 3], ""out_channels"": 128, ""padding"": [1, 1], ""stride"": [1, 1]}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",8.m.0.cv2.conv,forward,True,147456,58982400,999424,59.0164,400,400,30,2.4582,2.1066,1.3496
8.m.0.cv2.bn,8de7bac41945387e,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","[[1, 128, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",8.m.0.cv2.bn,forward,True,256,102400,410624,0.2494,400,400,30,0.2267,0.092,0.3394
9,7f0ad026246918d0,SPPF,"{""class"": ""SPPF""}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 256, 20, 20]]",9,forward,False,164608,,1477632,,1,1,30,9.1015,7.7094,4.1131
9.cv1,0ed1c23cf9110f7a,Conv,"{""class"": ""Conv""}","[[1, 256, 20, 20]]","[""torch.float32""]","[[1, 128, 20, 20]]",9.cv1,forward,False,33024,,746496,,1,1,30,1.8129,1.3144,0.9998
