config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,t_eff,seq_len,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,baseline_interp_W,P_delta_ABAB_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
2b623d1b1ee73297,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [2, 2]}","{'args': [{'k': 'tensor', 'shape': [1, 16, 320, 320], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}","[[1, 16, 320, 320]]","[""torch.float32""]",117964800,9848832,102400,102400,2.535,187,10.7021,4.865476,4.054564,0.837819,4.027657,43.39245,58.2,56.5,2400,1700,260,False,,
3048f0eb678ef04e,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","{'args': [{'k': 'tensor', 'shape': [1, 32, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 3276800}], 'kwargs': {}}","[[1, 32, 160, 160]]","[""torch.float32""]",1638400,6553856,25600,25600,2.533,2068,0.9672,4.983337,4.172425,0.847174,4.136163,4.03564,56.5,57.1,2300,1800,270,False,,
672813b148be80db,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 32, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 32, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 3276800}], 'kwargs': {}}","[[1, 32, 160, 160]]","[""torch.float32""]",26214400,6557696,25600,25600,2.54,283,7.0922,4.2184,3.407489,0.856419,3.361982,24.166493,58.2,57.6,2400,1600,265,False,,
efa3a1ff64809652,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 48, ""kernel_size"": [1, 1], ""out_channels"": 32, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 48, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 4915200}], 'kwargs': {}}","[[1, 48, 160, 160]]","[""torch.float32""]",39321600,8198144,25600,25600,2.533,257,7.7859,4.29038,3.479468,0.854516,3.435864,27.090809,58.7,56.5,2300,1900,270,False,,
f56bb57822b71c92,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 16, ""kernel_size"": [3, 3], ""out_channels"": 16, ""padding"": [1, 1], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 16, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}","[[1, 16, 160, 160]]","[""torch.float32""]",58982400,3286016,25600,25600,2.531,545,3.6719,4.73941,3.928498,0.833263,3.906146,14.42508,57.1,57.6,2400,1600,316,False,,
89999fdd195d9fdf,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","{'args': [{'k': 'tensor', 'shape': [1, 16, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}","[[1, 16, 160, 160]]","[""torch.float32""]",819200,3276928,25600,25600,2.53,8537,0.2343,5.609904,4.798992,0.859638,4.750266,1.124545,58.2,58.2,1900,1600,295,False,,
405424c2701c11ba,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [2, 2]}","{'args': [{'k': 'tensor', 'shape': [1, 32, 160, 160], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 3276800}], 'kwargs': {}}","[[1, 32, 160, 160]]","[""torch.float32""]",117964800,4988928,25600,25600,2.535,377,5.3052,5.548155,4.737243,0.848831,4.699324,25.131962,59.8,57.6,2400,1900,292,False,,
b4e6b6fa38e26912,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","{'args': [{'k': 'tensor', 'shape': [1, 64, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}","[[1, 64, 80, 80]]","[""torch.float32""]",819200,3277312,6400,6400,2.535,8151,0.2454,5.559594,4.748682,0.863323,4.696271,1.165484,57.1,58.2,1600,1600,291,False,,
c2e52d32153d778d,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 64, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 64, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}","[[1, 64, 80, 80]]","[""torch.float32""]",26214400,3293184,6400,6400,2.537,575,3.4833,4.212972,3.40206,0.870493,3.342479,11.850242,59.8,57.1,2300,1600,297,False,,
dd5a72608038310f,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 128, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 3276800}], 'kwargs': {}}","[[1, 128, 80, 80]]","[""torch.float32""]",52428800,4947968,6400,6400,2.531,458,4.368,4.218795,3.407883,0.877242,3.341553,14.88578,58.7,54.9,2400,1600,293,False,,
f016fabe75ce0c68,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 32, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}","[[1, 32, 80, 80]]","[""torch.float32""]",58982400,1675264,6400,6400,2.535,900,2.2237,4.948371,4.13746,0.863115,4.085256,9.200358,57.1,57.6,2100,1900,331,False,,
07e651876550e934,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","{'args': [{'k': 'tensor', 'shape': [1, 32, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}","[[1, 32, 80, 80]]","[""torch.float32""]",409600,1638656,6400,6400,2.533,13924,0.1436,5.409732,4.59882,0.862966,4.546766,0.660557,57.6,58.7,1800,2000,276,False,,
a48ef18e2a119ae7,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 128, ""padding"": [1, 1], ""stride"": [2, 2]}","{'args': [{'k': 'tensor', 'shape': [1, 64, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}","[[1, 64, 80, 80]]","[""torch.float32""]",117964800,2752512,6400,6400,2.537,513,3.9038,6.177655,5.366743,0.873918,5.303736,20.950426,58.7,58.2,2200,1700,311,False,,
cac46b7b9ae7f883,BatchNorm2d,"{""class"": ""BatchNorm2d"", ""eps"": 0.001, ""has_bias"": true, ""momentum"": 0.03}","{'args': [{'k': 'tensor', 'shape': [1, 128, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}","[[1, 128, 40, 40]]","[""torch.float32""]",409600,1639424,1600,1600,2.531,13121,0.1524,5.277253,4.466341,0.887534,4.389719,0.680814,58.7,58.2,1900,1500,309,False,,
392769084d185865,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 128, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 128, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}","[[1, 128, 40, 40]]","[""torch.float32""]",26214400,1703936,1600,1600,2.54,965,2.0738,4.858463,4.047552,0.85546,4.003003,8.393696,58.7,57.1,2300,1800,328,False,,
