t_ms,temp_C,arm_MHz,throttle_bits
753675.8401410043,70.3,2400,327680
758731.9708760042,68.1,2400,327680
763785.7096390071,68.1,2400,327680
768845.6684060075,69.7,2400,327680
773902.1017850027,68.6,2400,327680
778953.2753300009,69.2,2400,327680
784005.939515002,69.2,2400,327680
789065.1573300129,69.2,2400,327680
794125.8592660015,68.6,2400,327680
799182.045583002,69.2,2400,327680
804233.8916130102,69.2,2400,327680
809293.9962010132,70.3,2400,327680
814354.2134040035,70.3,2400,327680
819409.8008590081,71.4,2400,327680
824462.097443,69.2,2400,327680
829517.266949013,69.7,2400,327680
834568.2324450026,67.0,2400,327680
839621.6830330086,69.2,2400,327680
844681.5991960029,70.8,2400,327680
849737.8760830034,69.2,2400,327680
854797.8803850128,68.6,2400,327680
