path,config_id,class,config_json,leaf,params,macs,input_kind,input_shapes,out_shapes,count,lat_mean_ms,lat_median_ms,lat_std_ms
model.22.cv3.0.1.conv,05144e90dde4b32e,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 80, ""kernel_size"": [3, 3], ""out_channels"": 80, ""padding"": [1, 1], ""stride"": [1, 1]}",True,57600,276480000,tensor,"[[1, 80, 60, 80]]","[[1, 80, 60, 80]]",9,7.1371,6.7621,0.6816
model.22.cv3.0.2,a5f3b7a368f1fd18,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 80, ""kernel_size"": [1, 1], ""out_channels"": 80, ""padding"": [0, 0], ""stride"": [1, 1]}",True,6480,30720000,tensor,"[[1, 80, 60, 80]]","[[1, 80, 60, 80]]",9,3.0461,3.0361,0.2924
model.22.cv3.1,2b0e95bfcbd5c89c,Sequential,"{""class"": ""Sequential""}",False,156560,,tensor,"[[1, 128, 30, 40]]","[[1, 80, 30, 40]]",9,7.1416,6.6036,1.0401
model.22.cv3.1.0,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,92320,,tensor,"[[1, 128, 30, 40]]","[[1, 80, 30, 40]]",9,3.9675,3.3948,1.2215
model.22.cv3.1.0.conv,d1955fd571f004c8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 128, ""kernel_size"": [3, 3], ""out_channels"": 80, ""padding"": [1, 1], ""stride"": [1, 1]}",True,92160,110592000,tensor,"[[1, 128, 30, 40]]","[[1, 80, 30, 40]]",9,3.7071,3.1615,1.1749
model.22.cv3.1.1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,57760,,tensor,"[[1, 80, 30, 40]]","[[1, 80, 30, 40]]",9,2.3817,2.4569,0.2578
model.22.cv3.1.1.conv,05144e90dde4b32e,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 80, ""kernel_size"": [3, 3], ""out_channels"": 80, ""padding"": [1, 1], ""stride"": [1, 1]}",True,57600,69120000,tensor,"[[1, 80, 30, 40]]","[[1, 80, 30, 40]]",9,2.1539,2.2287,0.25
model.22.cv3.1.2,a5f3b7a368f1fd18,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 80, ""kernel_size"": [1, 1], ""out_channels"": 80, ""padding"": [0, 0], ""stride"": [1, 1]}",True,6480,7680000,tensor,"[[1, 80, 30, 40]]","[[1, 80, 30, 40]]",9,0.7296,0.7183,0.0582
model.22.cv3.2,2b0e95bfcbd5c89c,Sequential,"{""class"": ""Sequential""}",False,248720,,tensor,"[[1, 256, 15, 20]]","[[1, 80, 15, 20]]",9,4.257,3.7591,1.5044
model.22.cv3.2.0,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,184480,,tensor,"[[1, 256, 15, 20]]","[[1, 80, 15, 20]]",9,2.0659,1.8337,0.59
model.22.cv3.2.0.conv,fb4ac431a6392b65,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 256, ""kernel_size"": [3, 3], ""out_channels"": 80, ""padding"": [1, 1], ""stride"": [1, 1]}",True,184320,55296000,tensor,"[[1, 256, 15, 20]]","[[1, 80, 15, 20]]",9,1.8867,1.6286,0.5932
model.22.cv3.2.1,badac5f330c0bb8c,Conv,"{""class"": ""Conv""}",False,57760,,tensor,"[[1, 80, 15, 20]]","[[1, 80, 15, 20]]",9,1.4256,1.4086,0.5658
model.22.cv3.2.1.conv,05144e90dde4b32e,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 80, ""kernel_size"": [3, 3], ""out_channels"": 80, ""padding"": [1, 1], ""stride"": [1, 1]}",True,57600,17280000,tensor,"[[1, 80, 15, 20]]","[[1, 80, 15, 20]]",9,1.2471,1.244,0.5624
model.22.cv3.2.2,a5f3b7a368f1fd18,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 80, ""kernel_size"": [1, 1], ""out_channels"": 80, ""padding"": [0, 0], ""stride"": [1, 1]}",True,6480,1920000,tensor,"[[1, 80, 15, 20]]","[[1, 80, 15, 20]]",9,0.7068,0.4581,0.5099
model.22.dfl,72e101dbcdb1c173,DFL,"{""class"": ""DFL""}",False,16,,tensor,"[[1, 64, 6300]]","[[1, 4, 6300]]",9,3.0785,2.9858,0.3229
model.22.dfl.conv,c8d53189cd2396c8,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""in_channels"": 16, ""kernel_size"": [1, 1], ""out_channels"": 1, ""padding"": [0, 0], ""stride"": [1, 1]}",True,16,403200,tensor,"[[1, 16, 4, 6300]]","[[1, 1, 4, 6300]]",9,1.3876,1.3267,0.2442
