config_id,class,config_json,input_kind,input_shapes,input_dtypes,macs,bytes_moved,t_eff,seq_len,window_s,N_calls,t_per_call_ms,P_mean_W,P_delta_W,baseline_interp_W,P_delta_ABAB_W,E_per_call_mJ,temp_start_C,temp_end_C,freq_start_MHz,freq_end_MHz,samples_used,SKIPPED,skip_reason,error
0cd094669177a78c,Concat,"{""class"": ""Concat""}","{'args': [{'k': 'list', 'sub': [{'k': 'tensor', 'shape': [1, 256, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}, {'k': 'tensor', 'shape': [1, 128, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}]}], 'kwargs': {}}","[[1, 256, 40, 40], [1, 128, 40, 40]]","[""torch.float32""]",614400,4915200,1,1,2.538,5332,0.3751,4.417812,3.568975,0.897884,3.519928,1.338833,57.6,57.6,1600,2200,317,False,,
4a0979562ddbc931,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 384, ""kernel_size"": [1, 1], ""out_channels"": 128, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 384, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 2457600}], 'kwargs': {}}","[[1, 384, 40, 40]]","[""torch.float32""]",78643200,3473408,1600,1600,2.538,544,3.678,5.141113,4.292276,0.880028,4.261085,15.78692,58.7,58.2,2400,2300,294,False,,
8cbd9dc4ca1cbfaf,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 32, ""padding"": [1, 1], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 64, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}], 'kwargs': {}}","[[1, 64, 40, 40]]","[""torch.float32""]",29491200,688128,1600,1600,2.542,2002,0.999,5.979568,5.130731,0.896556,5.083012,5.125734,59.8,59.3,2200,2400,322,False,,
91ceca8ea9e75ddb,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 32, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 32, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 204800}], 'kwargs': {}}","[[1, 32, 40, 40]]","[""torch.float32""]",29491200,688128,1600,1600,2.538,2036,0.9823,5.609326,4.760488,0.920703,4.688622,4.676347,60.9,60.9,2400,1900,300,False,,
b284f397df75eed7,Upsample,"{""class"": ""Upsample""}","{'args': [{'k': 'tensor', 'shape': [1, 128, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}], 'kwargs': {}}","[[1, 128, 40, 40]]","[""torch.float32""]",819200,4096000,1,1,2.54,4515,0.443,5.302651,4.453814,0.918543,4.384108,1.973021,59.3,59.8,1800,2100,309,False,,
26a5de1e36be6039,Concat,"{""class"": ""Concat""}","{'args': [{'k': 'list', 'sub': [{'k': 'tensor', 'shape': [1, 128, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 3276800}, {'k': 'tensor', 'shape': [1, 128, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 3276800}]}], 'kwargs': {}}","[[1, 128, 80, 80], [1, 128, 80, 80]]","[""torch.float32""]",1638400,13107200,1,1,2.542,2424,0.8252,4.401736,3.552899,0.895345,3.506391,2.931896,59.8,60.4,1600,2300,308,False,,
5d989a796886336f,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 256, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 256, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 6553600}], 'kwargs': {}}","[[1, 256, 80, 80]]","[""torch.float32""]",104857600,8257536,6400,6400,2.54,338,5.9259,5.010606,4.161769,0.928859,4.081747,24.662207,59.8,58.2,1900,1900,290,False,,
e2902394cccde1bd,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 96, ""kernel_size"": [1, 1], ""out_channels"": 64, ""padding"": [0, 0], ""stride"": [1, 1]}","{'args': [{'k': 'tensor', 'shape': [1, 96, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 2457600}], 'kwargs': {}}","[[1, 96, 80, 80]]","[""torch.float32""]",39321600,4120576,6400,6400,2.543,505,3.9638,4.245014,3.396177,0.877278,3.367736,13.461745,59.8,60.4,2400,2400,297,False,,
68b9353d7c30de88,Conv2d,"{""class"": ""Conv2d"", ""dilation"": [1, 1], ""groups"": 1, ""has_bias"": false, ""in_channels"": 64, ""kernel_size"": [3, 3], ""out_channels"": 64, ""padding"": [1, 1], ""stride"": [2, 2]}","{'args': [{'k': 'tensor', 'shape': [1, 64, 80, 80], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 1638400}], 'kwargs': {}}","[[1, 64, 80, 80]]","[""torch.float32""]",58982400,2195456,6400,6400,2.543,997,2.0066,5.533013,4.684176,0.885949,4.647065,9.399479,59.3,59.8,1800,2400,338,False,,
0c744be3ab4636b8,Concat,"{""class"": ""Concat""}","{'args': [{'k': 'list', 'sub': [{'k': 'tensor', 'shape': [1, 64, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 409600}, {'k': 'tensor', 'shape': [1, 128, 40, 40], 'dtype': 'torch.float32', 'value': 'empty', 'bytes': 819200}]}], 'kwargs': {}}","[[1, 64, 40, 40], [1, 128, 40, 40]]","[""torch.float32""]",307200,2457600,1,1,2.541,7664,0.261,4.362218,3.513381,0.859429,3.502789,0.916842,59.8,58.7,1800,2100,339,False,,
